date,cash,gross_exposure,net_exposure,equity,pnl_day,pnl_cum,n_positions
2026-05-26 00:00:00,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-27,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-28,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-05-29,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-06-01,10000.000000,0.000000,0.000000,10000.000000,0.000000,0.000000,0
2026-06-02,-13166.300000,23166.300000,23166.300000,10227.500000,227.500000,227.500000,50
2026-06-03,-13166.300000,23166.300000,23166.300000,10099.100000,-128.400000,99.100000,50
2026-06-04,-13166.300000,23166.300000,23166.300000,10179.860000,80.760000,179.860000,50
2026-06-05,-13166.300000,23166.300000,23166.300000,9699.920000,-479.940000,-300.080000,50
2026-06-08,-13166.300000,23166.300000,23166.300000,9649.610000,-50.310000,-350.390000,50
2026-06-09,-1283.950000,10911.010000,10911.010000,9710.640000,61.030000,-289.360000,56
2026-06-10,-1283.950000,10911.010000,10911.010000,9616.420000,-94.220000,-383.580000,56
2026-06-11,-1283.950000,10911.010000,10911.010000,9756.220000,139.800000,-243.780000,56
2026-06-12,-1283.950000,10911.010000,10911.010000,9869.410000,113.190000,-130.590000,56
2026-06-15,-1283.950000,10911.010000,10911.010000,9837.110000,-32.300000,-162.890000,56
2026-06-16,2343.200000,7499.300000,7499.300000,9777.000000,-60.110000,-223.000000,46
2026-06-17,2343.200000,7499.300000,7499.300000,9711.780000,-65.220000,-288.220000,46
2026-06-18,2343.200000,7499.300000,7499.300000,9732.960000,21.180000,-267.040000,46
2026-06-22,2343.200000,7499.300000,7499.300000,9801.700000,,-198.300000,46
2026-06-23,1569.790000,8272.710000,8272.710000,9773.190000,-28.510000,-226.810000,48
2026-06-24,1569.790000,8272.710000,8272.710000,10031.460000,258.270000,31.460000,48
2026-06-25,1569.790000,8272.710000,8272.710000,10045.670000,14.210000,45.670000,48
2026-06-26,1569.790000,8272.710000,8272.710000,10098.310000,52.640000,98.310000,48
