date,close,open,high,low,volume
2026-07-07,94.06999969482422,92.20999908447266,94.5998992919922,92.1999969482422,1700057.0
2026-07-08,92.41000366210938,93.87999725341795,94.0500030517578,92.31500244140624,3026038.0
2026-07-09,91.73999786376952,91.91999816894533,92.9000015258789,91.72000122070312,1223850.0
2026-07-10,90.66000366210938,92.0,92.08999633789062,89.56500244140625,1572013.0
2026-07-13,92.05999755859376,90.94000244140624,92.26000213623048,90.7699966430664,1723818.0
2026-07-14,92.4000015258789,92.27999877929688,92.80999755859376,91.80999755859376,1040109.0
2026-07-15,92.29000091552734,92.6999969482422,94.6999969482422,91.7699966430664,3139223.0
2026-07-16,95.04000091552734,92.43000030517578,95.05999755859376,92.43000030517578,3313083.0
2026-07-17,96.0999984741211,95.76000213623048,97.1614990234375,95.4000015258789,3516781.0
2026-07-20,96.25,96.0199966430664,96.61499786376952,95.4749984741211,1462669.0
2026-07-21,97.62000274658205,96.0500030517578,97.63999938964844,95.83999633789062,1564343.0
2026-07-22,97.18000030517578,97.87000274658205,97.94499969482422,96.75,2296399.0
2026-07-23,97.91999816894533,97.43000030517578,98.83499908447266,96.63999938964844,2560186.0
2026-07-24,100.52999877929688,98.47000122070312,100.83499908447266,98.21499633789062,2274244.0
2026-07-27,100.11000061035156,100.31999969482422,100.9800033569336,99.70999908447266,2136621.0
2026-07-28,98.13999938964844,101.45999908447266,101.5999984741211,98.0999984741211,3169900.0
2026-07-29,97.72000122070312,98.19000244140624,98.8000030517578,96.9250030517578,2615389.0
2026-07-30,91.91999816894533,96.8000030517578,97.54499816894533,90.87000274658205,5180390.0
