date,close,open,high,low,volume
2026-06-04,130.5,125.2300033569336,131.3000030517578,124.4520034790039,2127049.0
2026-06-05,125.6500015258789,129.85000610351562,130.4600067138672,124.2300033569336,1850475.0
2026-06-08,126.87000274658205,126.08000183105467,128.47999572753906,125.20999908447266,1828826.0
2026-08-14,144.02000427246094,148.6300048828125,149.625,143.61000061035156,2018117.0
2026-08-17,141.33999633789062,143.35000610351562,143.17999267578125,139.57000732421875,1375076.0
2026-08-18,140.30999755859375,140.27999877929688,141.59500122070312,137.52000427246094,1475336.0
2026-08-19,143.10000610351562,141.3800048828125,144.8699951171875,140.1300048828125,2307216.0
2026-08-20,140.22999572753906,142.9600067138672,144.07000732421875,139.76010131835938,1315374.0
2026-08-21,141.25,141.85000610351562,143.5050048828125,140.21499633789062,1172500.0
2026-08-24,140.00999450683594,141.25,141.6699981689453,139.0800018310547,1531982.0
